plz4,pg_kt,pg_nr,pg_name
8914,ZH,1,Aeugst am Albis
8909,ZH,2,Affoltern am Albis
8910,ZH,2,Affoltern am Albis
8906,ZH,3,Bonstetten
6340,ZH,4,Hausen am Albis
8915,ZH,4,Hausen am Albis
8925,ZH,4,Hausen am Albis
8908,ZH,5,Hedingen
8926,ZH,6,Kappel am Albis
8934,ZH,7,Knonau
8933,ZH,8,Maschwanden
8932,ZH,9,Mettmenstetten
8912,ZH,10,Obfelden
8913,ZH,11,Ottenbach
8911,ZH,12,Rifferswil
8143,ZH,13,Stallikon
8907,ZH,14,Wettswil am Albis
8452,ZH,21,Adlikon
8463,ZH,22,Benken (ZH)
8415,ZH,23,Berg am Irchel
8414,ZH,24,Buch am Irchel
8447,ZH,25,Dachsen
8458,ZH,26,Dorf
8245,ZH,27,Feuerthalen
8246,ZH,27,Feuerthalen
8416,ZH,28,Flaach
8247,ZH,29,Flurlingen
8450,ZH,30,Andelfingen
8444,ZH,31,Henggart
8457,ZH,32,Humlikon
8451,ZH,33,Kleinandelfingen
8453,ZH,33,Kleinandelfingen
8461,ZH,33,Kleinandelfingen
8212,ZH,34,Laufen-Uhwiesen
8248,ZH,34,Laufen-Uhwiesen
8447,ZH,34,Laufen-Uhwiesen
8460,ZH,35,Marthalen
8464,ZH,35,Marthalen
8466,ZH,37,Ossingen
8475,ZH,37,Ossingen
8462,ZH,38,Rheinau
8464,ZH,38,Rheinau
8478,ZH,39,Thalheim an der Thur
8465,ZH,40,Trüllikon
8466,ZH,40,Trüllikon
8467,ZH,41,Truttikon
8459,ZH,43,Volken
8184,ZH,51,Bachenbülach
8303,ZH,52,Bassersdorf
8180,ZH,53,Bülach
8305,ZH,54,Dietlikon
8600,ZH,54,Dietlikon
8193,ZH,55,Eglisau
8197,ZH,55,Eglisau
8424,ZH,56,Embrach
8427,ZH,56,Embrach
8427,ZH,57,Freienstein-Teufen
8428,ZH,57,Freienstein-Teufen
8180,ZH,58,Glattfelden
8192,ZH,58,Glattfelden
8193,ZH,58,Glattfelden
8182,ZH,59,Hochfelden
8192,ZH,59,Hochfelden
8181,ZH,60,Höri
8194,ZH,61,Hüntwangen
8152,ZH,62,Kloten
8302,ZH,62,Kloten
8309,ZH,62,Kloten
8426,ZH,63,Lufingen
8309,ZH,64,Nürensdorf
8425,ZH,65,Oberembrach
8052,ZH,66,Opfikon
8152,ZH,66,Opfikon
8197,ZH,67,Rafz
8427,ZH,68,Rorbas
8428,ZH,68,Rorbas
8304,ZH,69,Wallisellen
8195,ZH,70,Wasterkingen
8196,ZH,70,Wasterkingen
8196,ZH,71,Wil (ZH)
8180,ZH,72,Winkel
8185,ZH,72,Winkel
8164,ZH,81,Bachs
8113,ZH,82,Boppelsen
8107,ZH,83,Buchs (ZH)
8108,ZH,84,Dällikon
8114,ZH,85,Dänikon
8157,ZH,86,Dielsdorf
8115,ZH,87,Hüttikon
8162,ZH,88,Neerach
8164,ZH,88,Neerach
8173,ZH,88,Neerach
8174,ZH,88,Neerach
8172,ZH,89,Niederglatt
8155,ZH,90,Niederhasli
8156,ZH,90,Niederhasli
8166,ZH,91,Niederweningen
8154,ZH,92,Oberglatt
5462,ZH,93,Oberweningen
8165,ZH,93,Oberweningen
8107,ZH,94,Otelfingen
8112,ZH,94,Otelfingen
8158,ZH,95,Regensberg
8105,ZH,96,Regensdorf
8106,ZH,96,Regensdorf
8052,ZH,97,Rümlang
8152,ZH,97,Rümlang
8153,ZH,97,Rümlang
8165,ZH,98,Schleinikon
