"","NAME_1","cant_name"
"1","Aargau","Aargau"
"2","Appenzell Ausserrhoden","Appenzell Ausserrhoden"
"3","Appenzell Innerrhoden","Appenzell Innerrhoden"
"4","Basel-Landschaft","Basel-Landschaft"
"5","Basel-Stadt","Basel-Stadt"
"6","Bern","Bern"
"7","Fribourg","Freiburg"
"8","Genève","Genf"
"9","Glarus","Glarus"
"10","Graubünden","Graubünden"
"11","Jura","Jura"
"12","Lucerne","Luzern"
"13","Neuchâtel","Neuenburg"
"14","Nidwalden","Nidwalden"
"15","Obwalden","Obwalden"
"16","Sankt Gallen","St. Gallen"
"17","Schaffhausen","Schaffhausen"
"18","Schwyz","Schwyz"
"19","Solothurn","Solothurn"
"20","Thurgau","Thurgau"
"21","Ticino","Tessin"
"22","Uri","Uri"
"23","Valais","Wallis"
"24","Vaud","Waadt"
"25","Zug","Zug"
"26","Zürich","Zürich"
